Epoch,Index,Expected Output,Output,Error,Type
1,0,0,0.8018862962643528,-0.8018862962643528,Bad Fact
1,1,0,0.9038529137951862,-0.9038529137951862,Bad Fact
1,3,0,0.9285058075779095,-0.9285058075779095,Bad Fact
1,6,0,0.9034909575281267,-0.9034909575281267,Bad Fact
1,7,0,0.9287751738592059,-0.9287751738592059,Bad Fact
1,8,0,0.9272037252163998,-0.9272037252163998,Bad Fact
1,11,0,0.8983903592861318,-0.8983903592861318,Bad Fact
1,13,0,0.8923613939416714,-0.8923613939416714,Bad Fact
1,14,0,0.8903029123263903,-0.8903029123263903,Bad Fact
1,16,0,0.8874537774613883,-0.8874537774613883,Bad Fact
1,21,0,0.920220854978754,-0.920220854978754,Bad Fact
1,22,0,0.8896511566052374,-0.8896511566052374,Bad Fact
1,24,0,0.899630740330962,-0.899630740330962,Bad Fact
2,0,0,0.7461444387907847,-0.7461444387907847,Bad Fact
2,1,0,0.8488317706802959,-0.8488317706802959,Bad Fact
2,3,0,0.8782520948402464,-0.8782520948402464,Bad Fact
2,4,1,0.7905345326712901,0.20946546732870985,Bad Fact
2,6,0,0.8481615850135817,-0.8481615850135817,Bad Fact
2,7,0,0.878357627377731,-0.878357627377731,Bad Fact
2,8,0,0.8762648733760462,-0.8762648733760462,Bad Fact
2,11,0,0.8414716641111247,-0.8414716641111247,Bad Fact
2,13,0,0.8369460630078895,-0.8369460630078895,Bad Fact
2,14,0,0.834237586146995,-0.834237586146995,Bad Fact
2,16,0,0.8301171831177585,-0.8301171831177585,Bad Fact
2,17,1,0.793537145141486,0.206462854858514,Bad Fact
2,21,0,0.8680337260615231,-0.8680337260615231,Bad Fact
2,22,0,0.8328580822968507,-0.8328580822968507,Bad Fact
2,24,0,0.8434349869555096,-0.8434349869555096,Bad Fact
3,0,0,0.6583190384048291,-0.6583190384048291,Bad Fact
3,1,0,0.7411544201419167,-0.7411544201419167,Bad Fact
3,2,1,0.74873345584858,0.25126654415142,Bad Fact
3,3,0,0.7695251430407009,-0.7695251430407009,Bad Fact
3,4,1,0.6896701046834456,0.3103298953165544,Bad Fact
3,5,1,0.7448511726302961,0.2551488273697039,Bad Fact
3,6,0,0.7397422265789334,-0.7397422265789334,Bad Fact
3,7,0,0.7690469937905824,-0.7690469937905824,Bad Fact
3,8,0,0.7665955737519994,-0.7665955737519994,Bad Fact
3,9,1,0.7560548647093929,0.24394513529060713,Bad Fact
3,10,1,0.7600111600903279,0.23998883990967212,Bad Fact
3,11,0,0.7315674675419942,-0.7315674675419942,Bad Fact
3,12,1,0.7745679572763544,0.2254320427236456,Bad Fact
3,13,0,0.7330332911953406,-0.7330332911953406,Bad Fact
3,14,0,0.7294867233116255,-0.7294867233116255,Bad Fact
3,15,1,0.7542734210082327,0.2457265789917673,Bad Fact
3,16,0,0.7235176878757528,-0.7235176878757528,Bad Fact
3,17,1,0.6937378801931833,0.3062621198068167,Bad Fact
3,18,1,0.7004566760673054,0.29954332393269456,Bad Fact
3,19,1,0.7031293043756272,0.29687069562437285,Bad Fact
3,20,1,0.7493089428125254,0.25069105718747464,Bad Fact
3,21,0,0.7595901856723197,-0.7595901856723197,Bad Fact
3,22,0,0.726905593236493,-0.726905593236493,Bad Fact
3,23,1,0.7577797740258063,0.24222022597419368,Bad Fact
3,24,0,0.7345405355620082,-0.7345405355620082,Bad Fact
3,25,1,0.7412155166366357,0.25878448336336435,Bad Fact
4,0,0,0.5708387022590701,-0.5708387022590701,Bad Fact
4,1,0,0.6143024456357918,-0.6143024456357918,Bad Fact
4,2,1,0.6197621944836451,0.3802378055163549,Bad Fact
4,3,0,0.6303360096883394,-0.6303360096883394,Bad Fact
4,4,1,0.5834376943516929,0.4165623056483071,Bad Fact
4,5,1,0.6163382305194841,0.3836617694805159,Bad Fact
4,6,0,0.6120562308471995,-0.6120562308471995,Bad Fact
4,7,0,0.6290121550740967,-0.6290121550740967,Bad Fact
4,8,0,0.6270096502463429,-0.6270096502463429,Bad Fact
4,9,1,0.6212375821826426,0.3787624178173574,Bad Fact
4,10,1,0.62554944471685,0.37445055528314997,Bad Fact
4,11,0,0.6039937192915954,-0.6039937192915954,Bad Fact
4,12,1,0.6322357656666701,0.36776423433332994,Bad Fact
4,13,0,0.6144647998387625,-0.6144647998387625,Bad Fact
4,14,0,0.6104549212760179,-0.6104549212760179,Bad Fact
4,15,1,0.6186941998391955,0.3813058001608045,Bad Fact
4,16,0,0.6032534615132151,-0.6032534615132151,Bad Fact
4,17,1,0.5880854721049019,0.4119145278950981,Bad Fact
4,18,1,0.5941348051804549,0.4058651948195451,Bad Fact
4,19,1,0.5976780515530696,0.40232194844693037,Bad Fact
4,20,1,0.6149386553887195,0.3850613446112805,Bad Fact
4,21,0,0.6254250618347604,-0.6254250618347604,Bad Fact
4,22,0,0.6068556034246979,-0.6068556034246979,Bad Fact
4,23,1,0.6231003612211459,0.37689963877885413,Bad Fact
4,24,0,0.6075624637211783,-0.6075624637211783,Bad Fact
4,25,1,0.6131309400945122,0.3868690599054878,Bad Fact
5,0,0,0.5168122668443957,-0.5168122668443957,Bad Fact
5,1,0,0.5302620922499817,-0.5302620922499817,Bad Fact
5,2,1,0.5337520905422312,0.46624790945776884,Bad Fact
5,3,0,0.5347910203104268,-0.5347910203104268,Bad Fact
5,4,1,0.516640471100796,0.48335952889920397,Bad Fact
5,5,1,0.531110718392,0.46888928160800003,Bad Fact
5,6,0,0.527645816916624,-0.527645816916624,Bad Fact
5,7,0,0.5329552680325046,-0.5329552680325046,Bad Fact
5,8,0,0.5316406059203705,-0.5316406059203705,Bad Fact
5,9,1,0.5304111988076148,0.4695888011923852,Bad Fact
5,10,1,0.5343987054400084,0.46560129455999155,Bad Fact
5,11,0,0.5205167994938947,-0.5205167994938947,Bad Fact
5,12,1,0.5338300817306999,0.4661699182693001,Bad Fact
5,13,0,0.5367184629901572,-0.5367184629901572,Bad Fact
5,14,0,0.532781828208575,-0.532781828208575,Bad Fact
5,15,1,0.5275835137406513,0.47241648625934873,Bad Fact
5,16,0,0.5253333905431695,-0.5253333905431695,Bad Fact
5,17,1,0.5213964006673732,0.47860359933262675,Bad Fact
5,18,1,0.5265687680713426,0.47343123192865744,Bad Fact
5,19,1,0.530455484304975,0.469544515695025,Bad Fact
5,20,1,0.5252529784702625,0.47474702152973747,Bad Fact
5,21,0,0.5347470521057454,-0.5347470521057454,Bad Fact
5,22,0,0.5287479534556963,-0.5287479534556963,Bad Fact
5,23,1,0.5321278054666256,0.46787219453337436,Bad Fact
5,24,0,0.5241658631962605,-0.5241658631962605,Bad Fact
5,25,1,0.5285967436061779,0.4714032563938221,Bad Fact
